"","summary","lower_CI","estimate","upper_CI"
"power","power",0.856717235475974,0.863599999999921,0.87027025334033
"type_I","type_I",0.0451385907028646,0.0493000000000004,0.0537263167105398
"type_I_non_binding","non_binding_type_I",0.0459058686024527,0.0501000000000004,0.0545585380800092
